collections.title,collections.description,accessRights,data_owner,description,title,titleAbr,language,issued,modified,publisher,publisherAbr,landingPage,downloadURL,contactPoint,identifier,data_type,study_type,study_subtype,topic,keyword,division,citation_requirements,gYearMonth,gYear,accrualPeriodicity,LocationType,idCountry,idSubregion,datadescription:dictionary,sampledesign,representativeness,sampling_procedure,weighting,txtpanel,txtRound,txtCoverage,intHogs,intPers,lnkQuest,lnkManual,lnkOther,lnkAll,lnkMerged,lnkOriginal,InkHarmonized
NA,NA,público,NA,NA,Encuesta Anual de Hogares Urbanos,EAHU,NA,NA,NA,Instituto Nacional de Estadísticas y Censos,INDEC,NA,NA,NA,NA,NA,Household Survey (HHS),NA,NA,NA,NA,NA,NA,2010,Trimestral,NA,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,31 Aglomerados urbanos,NA,NA,NA,\\Sdssrv03\surveys\survey\ARG\EAHU\2010\t3\docs,NA,\\Sdssrv03\surveys/survey/ARG/EAHU/2010/t3,NA,\\Sdssrv03\surveys/survey/ARG/EAHU/2010/t3/data_orig,na
NA,NA,público,NA,NA,Encuesta Anual de Hogares Urbanos,EAHU,NA,NA,NA,Instituto Nacional de Estadísticas y Censos,INDEC,NA,NA,NA,NA,NA,Household Survey (HHS),NA,NA,NA,NA,NA,NA,2011,Trimestral,NA,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,31 Aglomerados urbanos,NA,NA,NA,\\Sdssrv03\surveys\survey\ARG\EAHU\2011\t3\docs,NA,\\Sdssrv03\surveys/survey/ARG/EAHU/2011/t3,NA,\\Sdssrv03\surveys/survey/ARG/EAHU/2011/t3/data_orig,na
NA,NA,público,NA,NA,Encuesta Anual de Hogares Urbanos,EAHU,NA,NA,NA,Instituto Nacional de Estadísticas y Censos,INDEC,NA,NA,NA,NA,NA,Household Survey (HHS),NA,NA,NA,NA,NA,NA,2012,Trimestral,NA,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,31 Aglomerados urbanos,NA,NA,NA,\\Sdssrv03\surveys\survey\ARG\EAHU\2012\t3\docs,NA,\\Sdssrv03\surveys/survey/ARG/EAHU/2012/t3,NA,\\Sdssrv03\surveys/survey/ARG/EAHU/2012/t3/data_orig,na
NA,NA,público,NA,NA,Encuesta Anual de Hogares Urbanos,EAHU,NA,NA,NA,Instituto Nacional de Estadísticas y Censos,INDEC,NA,NA,NA,NA,NA,Household Survey (HHS),NA,NA,NA,NA,NA,NA,2013,Trimestral,NA,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,31 Aglomerados urbanos,NA,NA,NA,\\Sdssrv03\surveys\survey\ARG\EAHU\2013\t3\docs,NA,\\Sdssrv03\surveys/survey/ARG/EAHU/2013/t3,\\Sdssrv03\surveys\survey\ARG\EAHU\2013\t3\data_merge,\\Sdssrv03\surveys/survey/ARG/EAHU/2013/t3/data_orig,na
NA,NA,público,NA,NA,Encuesta de Condiciones de Vida,ECV,NA,NA,NA,Instituto Nacional de Estadísticas y Censos,INDEC,NA,NA,NA,NA,NA,Household Survey (HHS),NA,NA,NA,NA,NA,NA,2001,Anual,NA,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,Urbana,19606,71574,NA,NA,NA,\\Sdssrv03\surveys/survey/ARG/ECV/2001/a,NA,\\Sdssrv03\surveys/survey/ARG/ECV/2001/a/data_orig,NA
NA,NA,público,NA,NA,Encuesta de Desarrollo Social,EDS,NA,NA,NA,Instituto Nacional de Estadísticas y Censos,INDEC,NA,NA,NA,NA,NA,Household Survey (HHS),NA,NA,NA,NA,NA,NA,1997,Mensual,NA,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,28 Aglomerados urbanos,20272,75376,NA,na,NA,NA,\\Sdssrv03\surveys\survey\ARG\EDS\1997\m8\data_merge,\\Sdssrv03\surveys/survey/ARG/EDS/1997/m8/data_orig,na
NA,NA,público,NA,NA,Encuesta de Protección y Seguridad Social,ENAPROSS,NA,NA,NA,Ministerio de Trabajo y Seguridad Social,MTSS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,NA,NA,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,"Urbana - localidades >5000 hab. En Buenos Aires, Cordoba, Mendoza, Santa Fe y Tucumán",11522,38649,NA,NA,NA,NA,NA,NA,NA
NA,NA,público,NA,NA,Encuesta Permanente de Hogares - Continua,EPHC,NA,NA,NA,Instituto Nacional de Estadísticas y Censos,INDEC,NA,NA,NA,NA,NA,Household Survey (HHS),panel,NA,NA,NA,NA,NA,2003,Trimestral,NA,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,28 Aglomerados urbanos,26502,93152,NA,\\Sdssrv03\surveys\survey\ARG\EPHC\2003\s2\docs,NA,\\Sdssrv03\surveys/survey/ARG/EPHC/2003/s2,\\Sdssrv03\surveys\survey\ARG\EPHC\2003\s2\data_merge,\\Sdssrv03\surveys/survey/ARG/EPHC/2003/s2/data_orig,\\Sdssrv03\surveys/harmonized/ARG/EPHC/data_arm
NA,NA,público,NA,NA,Encuesta Permanente de Hogares - Continua,EPHC,NA,NA,NA,Instituto Nacional de Estadísticas y Censos,INDEC,NA,NA,NA,NA,NA,Household Survey (HHS),panel,NA,NA,NA,NA,NA,2003,Trimestral,NA,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,28 Aglomerados urbanos,NA,NA,NA,NA,NA,\\Sdssrv03\surveys/survey/ARG/EPHC/2003/t3,\\Sdssrv03\surveys\survey\ARG\EPHC\2003\t3\data_merge,\\Sdssrv03\surveys/survey/ARG/EPHC/2003/t3/data_orig,NA
NA,NA,público,NA,NA,Encuesta Permanente de Hogares - Continua,EPHC,NA,NA,NA,Instituto Nacional de Estadísticas y Censos,INDEC,NA,NA,NA,NA,NA,Household Survey (HHS),panel,NA,NA,NA,NA,NA,2003,Trimestral,NA,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,28 Aglomerados urbanos,NA,NA,NA,NA,NA,\\Sdssrv03\surveys/survey/ARG/EPHC/2003/t4,\\Sdssrv03\surveys\survey\ARG\EPHC\2003\t4\data_merge,\\Sdssrv03\surveys/survey/ARG/EPHC/2003/t4/data_orig,NA
