collection_title,collection_description,accessRights,data_owner,description,title,titleAbr,language,issued,modified,publisher,publisherAbr,landingPage,downloadURL,contactPoint,identifier,data_type,study_type,study_subtype,topic,keyword,division,citation_requirements,gYearMonth,gYear,accrualPeriodicity,LocationType,idRegion,idCountry,idCountryAbr,idSubregion,datadescription:dictionary,sampledesign,representativeness,sampling_procedure,weighting,txtpanel,txtRound,txtCoverage,intHogs,intPers,intHogsexp,intPersexp,lnkQuest,lnkManual,lnkOther,lnkAll,lnkMerged,lnkOriginal,InkHarmonized
Censos y encuestas harmonizadas,Censos y encuestas harmonizadas,NA,NA,NA,Population and Housing Census,Census,English,1921,NA,Census Office of the General Bureau of Statistics (GBS),NA,NA,NA,NA,NA,Microdata,Census,Cross-sectional,Census,NA,SCL,NA,NA,1921,NA,National,CCB,Suriname,SUR,NA,NA,NA,NA,NA,NA,NA,NA,Nacional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Censos y encuestas harmonizadas,Censos y encuestas harmonizadas,NA,NA,NA,Population and Housing Census,Census,English,1950,NA,Census Office of the General Bureau of Statistics (GBS),NA,NA,NA,NA,NA,Microdata,Census,Cross-sectional,Census,NA,SCL,NA,NA,1950,NA,National,CCB,Suriname,SUR,NA,NA,NA,NA,NA,NA,NA,NA,Nacional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Censos y encuestas harmonizadas,Censos y encuestas harmonizadas,NA,NA,NA,Population and Housing Census,Census,English,1964,NA,Census Office of the General Bureau of Statistics (GBS),NA,NA,NA,NA,NA,Microdata,Census,Cross-sectional,Census,NA,SCL,NA,NA,1964,NA,National,CCB,Suriname,SUR,NA,NA,NA,NA,NA,NA,NA,NA,Nacional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Censos y encuestas harmonizadas,Censos y encuestas harmonizadas,NA,NA,NA,Population and Housing Census,Census,English,1972,NA,Census Office of the General Bureau of Statistics (GBS),NA,NA,NA,NA,NA,Microdata,Census,Cross-sectional,Census,NA,SCL,NA,NA,1972,NA,National,CCB,Suriname,SUR,NA,NA,NA,NA,NA,NA,NA,NA,Nacional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Censos y encuestas harmonizadas,Censos y encuestas harmonizadas,NA,NA,NA,Pesquisa Nacional por Amostra de Domicilio,PNAD,Portugues,1977,NA,Instituto Brasileiro de Geografia e Estatistica,IBGE,NA,NA,NA,NA,Microdata,Survey,"NA",Survey,NA,SCL,NA,NA,1977,NA,National,CSC,Brasil,BRA,NA,NA,NA,NA,NA,NA,NA,?,Nacional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Censos y encuestas harmonizadas,Censos y encuestas harmonizadas,NA,NA,NA,Pesquisa Nacional por Amostra de Domicilio,PNAD,Portugues,1978,NA,Instituto Brasileiro de Geografia e Estatistica,IBGE,NA,NA,NA,NA,Microdata,Survey,"NA",Survey,NA,SCL,NA,NA,1978,NA,National,CSC,Brasil,BRA,NA,NA,NA,NA,NA,NA,NA,?,Nacional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Censos y encuestas harmonizadas,Censos y encuestas harmonizadas,NA,NA,NA,Pesquisa Nacional por Amostra de Domicilio,PNAD,Portugues,1979,NA,Instituto Brasileiro de Geografia e Estatistica,IBGE,NA,NA,NA,NA,Microdata,Survey,"NA",Survey,NA,SCL,NA,NA,1979,Mensual,National,CSC,Brasil,BRA,NA,NA,NA,NA,NA,NA,NA,m11,Nacional,88975,438178,NA,NA,NA,NA,NA,NA,NA,NA,NA
Censos y encuestas harmonizadas,Censos y encuestas harmonizadas,NA,NA,NA,Encuesta de Hogares,EH,Spanish,1979,NA,Dirección de Estadística y Censos,DEC,NA,NA,NA,NA,Microdata,Survey,"NA",Survey,NA,SCL,NA,NA,1979,NA,National,CID,Panamá,PAN,NA,NA,NA,NA,NA,NA,NA,m8,Nacional,8593,24284,NA,NA,NA,\\Sdssrv03\surveys/survey/PAN/EH/1979/m8/docs,NA,\\Sdssrv03\surveys/survey/PAN/EH/1979/m8,NA,\\Sdssrv03\surveys/survey/PAN/EH/1979/m8/data_orig,NA
Censos y encuestas harmonizadas,Censos y encuestas harmonizadas,Public Data,NA,NA,Encuesta Permanente de Hogares - Puntual,EPHP,Spanish,1980,NA,Instituto Nacional de Estadísticas y Censos,INDEC,NA,NA,NA,NA,Microdata,Survey,"NA",Survey,NA,SCL,NA,NA,1980,Mensual,National,CSC,Argentina,ARG,NA,NA,NA,NA,NA,NA,NA,m10,Gran Buenos Aires,3400,10233,NA,NA,NA,\\Sdssrv03\surveys\survey\ARG\EPHP\1980\m10\docs,NA,\\Sdssrv03\surveys/survey/ARG/EPHP/1980/m10,\\Sdssrv03\surveys\survey\ARG\EPHP\1980\m10\data_merge,\\Sdssrv03\surveys/survey/ARG/EPHP/1980/m10/data_orig,na
Censos y encuestas harmonizadas,Censos y encuestas harmonizadas,NA,NA,NA,Encuesta Nacional de Empleo,ENE,Spanish,1980,NA,Instituto Nacional de Estadística,INE,NA,NA,NA,NA,Microdata,Survey,"NA",Survey,NA,SCL,NA,NA,1980,Trimestral,National,CSC,Chile,CHL,NA,NA,NA,NA,NA,NA,NA,t4,Nacional,26366,122667,NA,NA,NA,NA,NA,NA,NA,NA,NA
Censos y encuestas harmonizadas,Censos y encuestas harmonizadas,NA,NA,NA,Encuesta Nacional de Hogares-Fuerza de Trabajo,ENH-FT,Spanish,1980,NA,Departamento Administativo Nacional de Estadistica,DANE,NA,NA,NA,NA,Microdata,Survey,"NA",Survey,NA,SCL,NA,NA,1980,Mensual,National,CAN,Colombia,COL,NA,NA,NA,NA,NA,NA,NA,m9,Urbana,7473,38726,NA,NA,NA,NA,NA,NA,NA,NA,NA
Censos y encuestas harmonizadas,Censos y encuestas harmonizadas,NA,NA,NA,Population and Housing Census,Census,English,1980,NA,Census Office of the General Bureau of Statistics (GBS),NA,NA,NA,NA,NA,Microdata,Census,Cross-sectional,Census,NA,SCL,NA,NA,1980,NA,National,CCB,Suriname,SUR,NA,NA,NA,NA,NA,NA,NA,NA,Nacional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Censos y encuestas harmonizadas,Censos y encuestas harmonizadas,Restricted Data,NA,NA,Encuesta de Hogares por Muestreo,EHM,Spanish,1980,NA,Oficina Central de Estadística e Informática,OCEI,NA,NA,NA,NA,Microdata,Survey,"NA",Survey,NA,SCL,NA,NA,1980,NA,National,CAN,Venezuela,VEN,NA,NA,NA,NA,NA,NA,NA,s2,Nacional,121502,718490,NA,NA,NA,NA,NA,NA,NA,NA,NA
Censos y encuestas harmonizadas,Censos y encuestas harmonizadas,NA,NA,NA,Pesquisa Nacional por Amostra de Domicilio,PNAD,Portugues,1981,NA,Instituto Brasileiro de Geografia e Estatistica,IBGE,NA,NA,NA,NA,Microdata,Survey,"NA",Survey,NA,SCL,NA,NA,1981,Mensual,National,CSC,Brasil,BRA,NA,NA,NA,NA,NA,NA,NA,m10,Nacional,103961,482611,NA,NA,NA,\\Sdssrv03\surveys\survey\BRA\PNAD\1981\m10\docs,NA,NA,NA,NA,NA
Censos y encuestas harmonizadas,Censos y encuestas harmonizadas,NA,NA,NA,Encuesta Nacional de Hogares,ENH,Spanish,1981,NA,Dirección General de Estadística y Censos,DGEC,NA,NA,NA,NA,Microdata,Survey,"NA",Survey,NA,SCL,NA,NA,1981,Mensual,National,CID,Costa Rica,CRI,NA,NA,NA,NA,NA,NA,NA,m7,Nacional,6604,22170,NA,NA,NA,NA,NA,NA,NA,NA,NA
Censos y encuestas harmonizadas,Censos y encuestas harmonizadas,NA,NA,NA,Encuesta Continua de Hogares,ECH,Spanish,1981,NA,Instituto Nacional de Estadísticas e Informática,INEI,NA,NA,NA,NA,Microdata,Survey,"NA",Survey,NA,SCL,NA,NA,1981,Semestral,National,CAN,Perú,PER,NA,NA,NA,NA,NA,NA,NA,s2,Nacional,9506,32610,NA,NA,NA,NA,NA,NA,NA,NA,NA
Censos y encuestas harmonizadas,Censos y encuestas harmonizadas,Public Data,NA,NA,Encuesta Continua de Hogares,ECH,Spanish,1981,NA,Dirección General de Estadistica Y Censos,DGEC,NA,NA,NA,NA,Microdata,Survey,"NA",Survey,NA,SCL,NA,NA,1981,Semestral,National,CSC,Uruguay,URY,NA,NA,NA,NA,NA,NA,NA,s2,Nacional,9506,32610,NA,NA,NA,NA,NA,\\Sdssrv03\surveys/survey/URY/ECH/1981/s2,NA,\\Sdssrv03\surveys/survey/URY/ECH/1981/s2/data_orig,\\Sdssrv03\surveys/harmonized/URY/ECH/data_arm
Censos y encuestas harmonizadas,Censos y encuestas harmonizadas,Restricted Data,NA,NA,Encuesta de Hogares por Muestreo,EHM,Spanish,1981,NA,Oficina Central de Estadística e Informática,OCEI,NA,NA,NA,NA,Microdata,Survey,"NA",Survey,NA,SCL,NA,NA,1981,NA,National,CAN,Venezuela,VEN,NA,NA,NA,NA,NA,NA,NA,s2,Nacional,42373,239649,NA,NA,NA,NA,NA,NA,NA,NA,NA
Censos y encuestas harmonizadas,Censos y encuestas harmonizadas,Public Data,NA,NA,Encuesta Permanente de Hogares - Puntual,EPHP,Spanish,1982,NA,Instituto Nacional de Estadísticas y Censos,INDEC,NA,NA,NA,NA,Microdata,Survey,"NA",Survey,NA,SCL,NA,NA,1982,Mensual,National,CSC,Argentina,ARG,NA,NA,NA,NA,NA,NA,NA,m10,Gran Buenos Aires,3302,11524,NA,NA,NA,\\Sdssrv03\surveys\survey\ARG\EPHP\1982\m10\docs,NA,\\Sdssrv03\surveys/survey/ARG/EPHP/1982/m10,\\Sdssrv03\surveys\survey\ARG\EPHP\1982\m10\data_merge,\\Sdssrv03\surveys/survey/ARG/EPHP/1982/m10/data_orig,na
Censos y encuestas harmonizadas,Censos y encuestas harmonizadas,NA,NA,NA,Pesquisa Nacional por Amostra de Domicilio,PNAD,Portugues,1982,NA,Instituto Brasileiro de Geografia e Estatistica,IBGE,NA,NA,NA,NA,Microdata,Survey,"NA",Survey,NA,SCL,NA,NA,1982,NA,National,CSC,Brasil,BRA,NA,NA,NA,NA,NA,NA,NA,?,?,NA,NA,NA,NA,NA,\\Sdssrv03\surveys\survey\BRA\PNAD\1982\?\docs,NA,NA,NA,NA,NA
Censos y encuestas harmonizadas,Censos y encuestas harmonizadas,Restricted Data,NA,NA,Pesquisa Mensal de Emprego,PME,Portugues,1982,NA,Instituto Brasileiro de Geografia e Estatistica,IBGE,NA,NA,NA,NA,Microdata,Survey,"NA",Survey,NA,SCL,NA,NA,1982,Mensual,National,CSC,Brasil,BRA,NA,NA,NA,NA,NA,NA,NA,m1,6 regiones metropolitanas,NA,NA,NA,NA,NA,NA,NA,\\Sdssrv03\surveys/survey/BRA/1982/m1,NA,\\Sdssrv03\surveys/survey/BRA/1982/m1/data_orig,NA
